okr_id,parent_id,level,team,objective,kr,type,owner,baseline,target,actual,score,confidence,dependencies,risks,decisions_needed,source_doc_url,last_update
SW-O1,,Team,Software,提升 EOL 软件主线质量和严重稳定性问题闭环能力,,Committed,Software Lead,Q2 release and deployment baseline,Q3 software quality target,,0.62,Yellow,QA taxonomy; release report,Release metric denominator needs confirmation,Freeze Q3 release list,https://docs.example.com/software-okrs#sw-o1,2026-06-12
SW-O1-KR1,SW-O1,Team,Software,提升 EOL 软件主线质量和严重稳定性问题闭环能力,EOL software release 的现场逃逸 P0/P1/P2 降至每 release 2/3/5 以内,Committed,Software Lead,Q2 field escaped issue count,2/3/5 per release,,0.55,Yellow,Jira release report; QA escaped defect review,Severity definitions differ across teams,Lock release severity taxonomy,https://docs.example.com/software-okrs#sw-o1-kr1,2026-06-12
SW-O1-KR2,SW-O1,Team,Software,提升 EOL 软件主线质量和严重稳定性问题闭环能力,EOL software build 在开发阶段逃逸至 QA 阶段的 P0/P1/P2 不超过 5/10/25 per release,Committed,Software Lead,Q2 QA escaped Dev defect count,5/10/25 per release,,0.48,Yellow,QA bug taxonomy; release validation,Dev escaped classification needs consistency,Lock QA escaped Dev definition,https://docs.example.com/software-okrs#sw-o1-kr2,2026-06-12
SW-O1-KR3,SW-O1,Team,Software,提升 EOL 软件主线质量和严重稳定性问题闭环能力,IPC 卡死类 P0/P1 问题完成闭环，Q3内软件导致卡死每版本平均不超过1例,Committed,Software Lead,Known IPC freeze P0/P1 issues,Average software-caused freeze <= 1 per version,,0.37,Yellow,IPC issue tracker; stability validation,Root cause classification may remain incomplete,Confirm IPC freeze closure criteria,https://docs.example.com/software-okrs#sw-o1-kr3,2026-06-12
SW-O2,,Team,Software,提升 EOL 平台的规模化交付能力和成本效率,,Committed,Software PM,Q2 workflow and costdown baseline,Q3 scale delivery target,,0.51,Yellow,Product acceptance plan; IPC configuration matrix,Workflow acceptance plan still needs lock,Confirm workflow release milestone,https://docs.example.com/software-okrs#sw-o2,2026-06-12
SW-O2-KR1,SW-O2,Team,Software,提升 EOL 平台的规模化交付能力和成本效率,"workflow顺利完成3个产品验收阶段, 9月初发布第一版",Committed,Workflow Owner,0 product acceptance stages,3 acceptance stages and first version in early September,,0.46,Yellow,Product acceptance checklist; release calendar,Product acceptance criteria may move,Freeze three acceptance stages,https://docs.example.com/software-okrs#sw-o2-kr1,2026-06-12
SW-O2-KR2,SW-O2,Team,Software,提升 EOL 平台的规模化交付能力和成本效率,开发实现 workflow P0/P1自动化测试用例覆盖度达到80%,Committed,QA + Software,Current P0/P1 workflow automation baseline,80% P0/P1 automation coverage,,0.58,Yellow,QA automation plan; workflow test cases,Test case ownership unclear,Assign automation DRI,https://docs.example.com/software-okrs#sw-o2-kr2,2026-06-12
SW-O2-KR3,SW-O2,Team,Software,提升 EOL 平台的规模化交付能力和成本效率,目标 EOL 标准配置 IPC BOM 平均成本降低 10%，降本配置通过 EOL 标准性能和稳定性门槛，关键场景吞吐、延迟、FA/FR 不低于基线,Committed,Software + Hardware,Q2 IPC baseline configuration,10% BOM reduction with performance and stability gate passed,,0.33,Yellow,IPC benchmark; stability test; FA/FR report,Costdown configuration may miss performance baseline,Confirm Go/No-go benchmark,https://docs.example.com/software-okrs#sw-o2-kr3,2026-06-12
SW-O3,,Team,Software,打通 Smart Camera 从工程样机到可销售、可交付产品的 launch 路径,,Committed,Smart Camera Software Owner,Prototype validation baseline,Q3 launch readiness target,,0.44,Yellow,Product target applications; launch checklist,Target customer apps need confirmation,Freeze Smart Camera launch scope,https://docs.example.com/software-okrs#sw-o3,2026-06-12
SW-O3-KR1,SW-O3,Team,Software,打通 Smart Camera 从工程样机到可销售、可交付产品的 launch 路径,Smart Camera 在 3 个目标客户应用完成 E2E 部署验证，并达到约定 FA/FR 或验收指标,Committed,Smart Camera Software Owner,0 target E2E validations,3 target customer applications validated,,0.29,Yellow,Customer data; Application Team UAT; FA/FR report,Customer data availability could slip,Confirm target application list,https://docs.example.com/software-okrs#sw-o3-kr1,2026-06-12
SW-O3-KR2,SW-O3,Team,Software,打通 Smart Camera 从工程样机到可销售、可交付产品的 launch 路径,Smart Camera launch readiness checklist 100% 完成，覆盖硬件、软件、AI、制造、文档、服务支持,Committed,Product DRI,Partial launch checklist,100% launch readiness checklist,,0.52,Yellow,Hardware; AI; Manufacturing; Service,Checklist DRI ownership may be split,Assign single launch readiness DRI,https://docs.example.com/software-okrs#sw-o3-kr2,2026-06-12
SW-O3-KR3,SW-O3,Team,Software,打通 Smart Camera 从工程样机到可销售、可交付产品的 launch 路径,实现尺寸测量、目标检测、模版匹配以及回测功能的开发,Committed,Smart Camera Software Owner,Feature development in progress,Feature development completed,,0.41,Yellow,Algorithm Team; Application Team,Feature acceptance criteria need confirmation,Define feature readiness criteria,https://docs.example.com/software-okrs#sw-o3-kr3,2026-06-12
APP-O1,SW-O1,Team,Application Team,支持 Software OKR 落地到客户场景和应用工作流,,Committed,Application Lead,Current EOL application readiness,Q3 target workflow readiness,,0.57,Yellow,Software release plan; target customer application list,UAT criteria not frozen,Freeze application scenario list,https://docs.example.com/application-okrs#app-o1,2026-06-12
APP-KR1,APP-O1,Team,Application Team,支持 Software OKR 落地到客户场景和应用工作流,分类/OCR 等目标 E2E workflow 在目标场景通过 UAT,Committed,Application Lead,0 target UAT passed,X target UAT passed,,0.53,Yellow,AI model; customer data; FAE rehearsal,Acceptance metric may move during Q3,Freeze UAT checklist,https://docs.example.com/application-okrs#app-kr1,2026-06-12
APP-KR2,APP-O1,Team,Application Team,支持 Software OKR 落地到客户场景和应用工作流,Application team 输出 X 个可复用配置模板并通过 FAE 演练,Aspirational,Application PM,Ad hoc templates,X reusable templates,,0.36,Yellow,FAE rehearsal slots; workflow templates,Template ownership unclear,Assign template DRI,https://docs.example.com/application-okrs#app-kr2,2026-06-12
INT-O1,SW-O1,Team,Integration Team,提升 EOL 系统集成质量和跨模块交付确定性,,Committed,Integration Lead,Manual integration validation,Q3 integration readiness,,0.49,Yellow,Software release branch; Hardware configuration matrix,Integration test environment capacity limited,Confirm integration test window,https://docs.example.com/integration-okrs#int-o1,2026-06-12
INT-KR1,INT-O1,Team,Integration Team,提升 EOL 系统集成质量和跨模块交付确定性,Top X 条 EOL 主流程完成端到端集成验证并进入 release gate,Committed,Integration Lead,Ad hoc integration checks,X workflows in release gate,,0.61,Yellow,Application workflows; Platform services,Workflow ownership may be unclear,Lock workflow DRI list,https://docs.example.com/integration-okrs#int-kr1,2026-06-12
INT-KR2,INT-O1,Team,Integration Team,提升 EOL 系统集成质量和跨模块交付确定性,跨 Software/Hardware/Algorithm blocker 的首次归因时间小于 X 小时,Aspirational,Integration PM,No consistent triage SLA,X-hour first attribution,,0.34,Yellow,Jira taxonomy; release blocker review,Triage data not consistently captured,Define blocker triage fields,https://docs.example.com/integration-okrs#int-kr2,2026-06-12
SWQA-O1,SW-O1,Team,QA Team,建立 EOL release 和现场质量的可度量闭环,,Committed,QA Lead,Current validation baseline,Q3 quality transparency,,0.68,Green,Release scope; Software test plan,Automation scope may expand without capacity,Confirm critical path list,https://docs.example.com/software-qa-okrs#swqa-o1,2026-06-12
SWQA-KR1,SWQA-O1,Team,QA Team,建立 EOL release 和现场质量的可度量闭环,EOL critical path 自动化覆盖率达到 X%,Committed,QA Lead,Current automation baseline,X% coverage,,0.72,Green,Stable workflow scope,Automation environment may be unstable,Confirm automation owners,https://docs.example.com/software-qa-okrs#swqa-kr1,2026-06-12
SWQA-KR2,SWQA-O1,Team,QA Team,建立 EOL release 和现场质量的可度量闭环,每个 escaped defect 完成漏测原因分类和测试补强建议,Committed,QA Lead,Partial escaped defect review,100% classification,,0.56,Yellow,Jira defects; field issue report,Defect metadata incomplete,Add required Jira fields,https://docs.example.com/software-qa-okrs#swqa-kr2,2026-06-12
PLAT-O1,SW-O1,Team,Platform Team,提升 EOL 平台稳定性、可观测性和标准交付能力,,Committed,Platform Lead,Current platform readiness,Q3 platform delivery readiness,,0.45,Yellow,Release package; infra telemetry,Observability coverage incomplete,Define platform readiness checklist,https://docs.example.com/platform-okrs#plat-o1,2026-06-12
PLAT-KR1,PLAT-O1,Team,Platform Team,提升 EOL 平台稳定性、可观测性和标准交付能力,目标 release 覆盖安装、配置、日志诊断、rollback 和 known issues,Committed,Platform Lead,Ad hoc release notes,100% target release package coverage,,0.59,Yellow,Software PM; Service feedback,Rollback policy incomplete,Confirm release package owner,https://docs.example.com/platform-okrs#plat-kr1,2026-06-12
PLAT-KR2,PLAT-O1,Team,Platform Team,提升 EOL 平台稳定性、可观测性和标准交付能力,关键部署诊断日志覆盖 Top X 个现场 blocker 场景,Aspirational,Platform Observability Owner,Partial logs,X blocker scenarios covered,,0.31,Yellow,Field blocker taxonomy; logging pipeline,Field taxonomy not stable,Freeze blocker categories,https://docs.example.com/platform-okrs#plat-kr2,2026-06-12
ALG-O1,SW-O1,Team,Algorithm Team,支持目标客户场景 FA/FR 达标和模型版本可追溯,,Committed,Algorithm Lead,Current model validation baseline,Q3 target scenario validation,,0.54,Yellow,Customer data; application UAT,Data availability uncertain,Confirm dataset owner,https://docs.example.com/algorithm-okrs#alg-o1,2026-06-12
ALG-KR1,ALG-O1,Team,Algorithm Team,支持目标客户场景 FA/FR 达标和模型版本可追溯,目标客户应用 FA/FR 达到验收门槛并完成版本追溯记录,Committed,Algorithm Lead,0 completed target validation,X target validations,,0.47,Yellow,Application Team UAT; customer dataset,Acceptance threshold may change,Freeze FA/FR target,https://docs.example.com/algorithm-okrs#alg-kr1,2026-06-12
ALG-KR2,ALG-O1,Team,Algorithm Team,支持目标客户场景 FA/FR 达标和模型版本可追溯,数据集、模型版本和评估协议可追溯率达到 100%,Committed,Algorithm PM,Partial traceability,100% traceability,,0.66,Green,Model registry; evaluation report,Legacy experiments may miss metadata,Backfill metadata template,https://docs.example.com/algorithm-okrs#alg-kr2,2026-06-12
TPM-O1,SW-O1,Team,TPM Team,让 Software Q3 OKR 节奏、依赖和风险透明可追踪,,Committed,TPM Lead,Ad hoc OKR follow-up,Biweekly OKR operating cadence,,0.63,Yellow,Team check-ins; Jira; release calendar,Dependency decisions may remain implicit,Define escalation path,https://docs.example.com/tpm-okrs#tpm-o1,2026-06-12
TPM-KR1,TPM-O1,Team,TPM Team,让 Software Q3 OKR 节奏、依赖和风险透明可追踪,所有 Software 子团队 KR 每两周更新 confidence、risk 和 decision needed,Committed,TPM Lead,Manual progress updates,100% biweekly updates,,0.69,Yellow,OKR public page; team owners,Update discipline may be inconsistent,Set OKR check-in calendar,https://docs.example.com/tpm-okrs#tpm-kr1,2026-06-12
TPM-KR2,TPM-O1,Team,TPM Team,让 Software Q3 OKR 节奏、依赖和风险透明可追踪,Red/Yellow KR 的跨团队依赖在 X 天内明确 owner 和下一步,Aspirational,TPM Lead,No consistent dependency SLA,X-day owner assignment,,0.42,Yellow,Dependency log; leadership review,Decision owner unclear,Define escalation owner,https://docs.example.com/tpm-okrs#tpm-kr2,2026-06-12
HW-O1,,Team,Hardware,让 OptiX V6.1 和降本硬件配置达到 Q3 readiness,,Committed,Hardware Lead,Prototype and costdown evaluation,Q3 hardware readiness,,0.57,Yellow,Software compatibility; supply chain review,IPC replacement validation may slip,Confirm costdown configuration matrix,https://docs.example.com/hardware-okrs#hw-o1,2026-06-12
HW-KR1,HW-O1,Team,Hardware,让 OptiX V6.1 和降本硬件配置达到 Q3 readiness,降本 IPC 目标配置通过性能、稳定性和供应风险验证,Committed,Hardware Lead,Baseline IPC configuration,Validated costdown configuration,,0.38,Yellow,Software benchmark; QA stability test,Supply availability and performance boundary unclear,Review Go/No-go criteria,https://docs.example.com/hardware-okrs#hw-kr1,2026-06-12
HW-KR2,HW-O1,Team,Hardware,让 OptiX V6.1 和降本硬件配置达到 Q3 readiness,OptiX V6.1 完成关键图像质量、可靠性和兼容性验证,Committed,OptiX Owner,Current prototype readiness,Q3 readiness gate passed,,0.71,Green,QA validation; Software driver integration,Compatibility issues may appear late,Track blocker list weekly,https://docs.example.com/hardware-okrs#hw-kr2,2026-06-12
AT-O1,,Team,Advanced Technology,验证下一代技术能否进入 Q4/Q1 产品化路径,,Learning,Advanced Technology Lead,Exploration portfolio,Q3 Go/No-go recommendations,,0.43,Yellow,Product scenario input; customer data,Scope could drift into pure research,Confirm productization criteria,https://docs.example.com/advanced-tech-okrs#at-o1,2026-06-12
AT-KR1,AT-O1,Team,Advanced Technology,验证下一代技术能否进入 Q4/Q1 产品化路径,Deflectometry prototype 在目标场景完成技术可行性验证并给出 Q4 Go/No-go 建议,Learning,3D Lead,Prototype not validated,Validated prototype and memo,,0.28,Yellow,Hardware prototype; Product scenario,Mount design and higher priority work may block validation,Lock prototype milestone,https://docs.example.com/advanced-tech-okrs#at-kr1,2026-06-12
AT-KR2,AT-O1,Team,Advanced Technology,验证下一代技术能否进入 Q4/Q1 产品化路径,下一代 AI 架构在 X 个固定客户场景完成 baseline 对比,Aspirational,AI Architecture Lead,No fixed benchmark,X scenarios benchmarked,,0.39,Yellow,Data labeling; fixed evaluation protocol,Data source availability uncertain,Confirm benchmark dataset,https://docs.example.com/advanced-tech-okrs#at-kr2,2026-06-12
APOPS-O1,,Team,AP OPS,提升 AP 区域交付透明度和现场闭环效率,,Committed,AP OPS Lead,Q2 AP delivery baseline,Q3 AP delivery transparency,,0.52,Yellow,Service tracker; release package,Stage data quality inconsistent,Confirm AP project tracker owner,https://docs.example.com/ap-ops-okrs#apops-o1,2026-06-12
APOPS-KR1,APOPS-O1,Team,AP OPS,提升 AP 区域交付透明度和现场闭环效率,目标 AP 项目 G2.1 到 G3.2 中位周期降低 X%,Aspirational,AP OPS Lead,Q2 median cycle time,X% improvement,,0.25,Red,Project stage tracker; Product target list,Stage tracker not complete,Define source of truth,https://docs.example.com/ap-ops-okrs#apops-kr1,2026-06-12
APOPS-KR2,APOPS-O1,Team,AP OPS,提升 AP 区域交付透明度和现场闭环效率,FAE/Service 独立完成 X 次标准部署演练并记录 blocker,Committed,AP Service Lead,0 recorded rehearsals,X rehearsals,,0.46,Yellow,Release package; Application templates,Rehearsal calendar not scheduled,Book first two rehearsals,https://docs.example.com/ap-ops-okrs#apops-kr2,2026-06-12
OPT-O1,HW-O1,Team,Optics Team,提升 OptiX 光学模组 readiness 和关键图像质量稳定性,,Committed,Optics Lead,Prototype optical validation baseline,Q3 optics readiness gate passed,,0.58,Yellow,Hardware validation; Software image pipeline,Optical calibration window may slip,Confirm optics validation owner,https://docs.example.com/optics-okrs#opt-o1,2026-06-12
OPT-KR1,OPT-O1,Team,Optics Team,提升 OptiX 光学模组 readiness 和关键图像质量稳定性,完成 OptiX V6.1 关键光学指标验证，图像质量达到目标 baseline,Committed,Optics Lead,Current prototype optical metrics,Image quality baseline passed,,0.64,Green,Hardware sample; QA validation report,Sample availability may affect coverage,Lock optical validation sample list,https://docs.example.com/optics-okrs#opt-kr1,2026-06-12
OPT-KR2,OPT-O1,Team,Optics Team,提升 OptiX 光学模组 readiness 和关键图像质量稳定性,完成关键安装、标定和环境稳定性问题闭环，P0 blocker 清零,Committed,Optics PM,Open optics blocker list,0 P0 blocker before readiness review,,0.41,Yellow,Mechanical design; field feedback,Mount design dependency unresolved,Confirm mount design milestone,https://docs.example.com/optics-okrs#opt-kr2,2026-06-12
